球员名字,所属球队,场次,时间,投篮投中数,投篮出手数,投篮命中率,三分球投中数,三分球出手数,三分球命中率,罚篮投中数,罚篮出手数,罚篮命中率,篮板进攻,篮板防守,篮板总计,助攻,失误,抢断,盖帽,犯规,得分
凯利-奥利尼克,波士顿凯尔特人,50,21:32,3.6,7,51.7%,1.1,2.9,37.9%,1.2,1.6,70.7%,0.9,3.9,4.8,2,1.3,0.7,0.4,2.6,9.5
特里-罗齐尔,波士顿凯尔特人,52,18:06,2.1,5.6,37%,0.8,2.3,33.1%,0.8,1,76.5%,0.5,2.5,3.1,1.7,0.6,0.6,0.2,1,5.6
阿米尔-约翰逊,波士顿凯尔特人,56,19:42,2.7,4.6,57.3%,0.3,0.8,40.9%,0.8,1.2,66.7%,1.6,3,4.6,1.7,0.9,0.5,0.7,2.6,6.5
杰伦-布朗,波士顿凯尔特人,53,15:32,2.1,4.8,42.7%,0.4,1.3,30.4%,1.2,1.6,72.1%,0.5,2,2.6,0.6,0.7,0.4,0.2,1.7,5.7
乔纳斯-杰雷布科,波士顿凯尔特人,56,16:36,1.6,3.5,44.9%,0.6,1.8,34.7%,0.3,0.4,81%,0.8,2.6,3.4,0.9,0.6,0.4,0.3,1.7,4.1
朱-霍勒迪,新奥尔良鹈鹕,43,32:25,6.3,13.5,46.5%,1.5,4,37.9%,2,2.9,69%,0.8,3.2,4,7.4,3.2,1.6,0.6,2.4,16.1
德马库斯-考辛斯,新奥尔良鹈鹕,56,34:23,9.2,20.3,45.4%,1.7,4.9,35.3%,7.6,9.9,77.1%,2.1,8.6,10.7,4.8,3.7,1.4,1.4,3.7,27.8
安东尼-戴维斯,新奥尔良鹈鹕,54,36:17,10.1,20.2,50.1%,0.5,1.6,29.9%,7,8.8,80.2%,2.2,9.6,11.9,2.2,2.6,1.3,2.5,2.4,27.7
蒂姆-弗雷泽,新奥尔良鹈鹕,42,25:01,3,7.2,41.9%,0.7,2.1,33.3%,1.9,2.4,79.8%,0.5,2.3,2.9,5.7,1.9,0.9,0.1,2.3,8.6
所罗门-希尔,新奥尔良鹈鹕,56,28:26,2.2,5.5,39.4%,1.1,3.1,35.4%,1.2,1.5,80.7%,0.5,3.2,3.7,1.8,1,0.9,0.4,2.3,6.7
特伦斯-琼斯,新奥尔良鹈鹕,51,24:47,4.5,9.6,47.2%,0.4,1.5,25.3%,2,3.3,60.6%,1.3,4.7,5.9,1.2,0.9,0.8,1,1.3,11.5
伊托万-摩尔,新奥尔良鹈鹕,52,24:39,3.9,8.6,45.7%,1.1,2.9,38.4%,0.7,0.9,76.6%,0.5,1.7,2.2,2.2,0.9,0.7,0.5,1.9,9.7
丹特-康宁汉姆,新奥尔良鹈鹕,43,25:08,2.4,5.6,43.8%,1.1,2.9,39%,0.2,0.3,57.1%,0.8,3.3,4.2,0.7,0.5,0.5,0.5,1.7,6.2
吉米-巴特勒,芝加哥公牛,51,36:36,7.5,16.5,45.2%,1.2,3.4,33.7%,8.4,9.6,86.8%,1.7,4.6,6.3,5,2.1,1.8,0.3,1.7,24.5
德维恩-韦德,芝加哥公牛,48,30:22,7.2,16.6,43.4%,0.8,2.5,32.2%,3.9,4.9,79.7%,1.1,3.4,4.5,3.8,2.2,1.6,0.7,1.9,19.1
拉简-朗多,芝加哥公牛,48,26:15,2.8,7.5,37.2%,0.5,1.6,31.6%,0.4,0.7,54.5%,0.9,4.3,5.2,6.5,2.5,1.3,0.2,2,6.5
尼科拉-米罗蒂奇,芝加哥公牛,48,22:27,3.1,8.1,38.1%,1.5,4.9,29.9%,1.3,1.7,77.1%,0.7,4.4,5.1,0.9,1.1,0.7,0.8,1.8,9
杰里安-格兰特,芝加哥公牛,46,16:26,1.9,4.8,40.5%,0.7,2,34.8%,1.2,1.3,91.5%,0.2,1.3,1.5,1.6,0.8,0.7,0.1,1.6,5.7
安东尼-莫罗,芝加哥公牛,40,15:40,2.2,5.6,38.7%,0.9,3,29.4%,0.6,0.6,88.5%,0.3,0.4,0.7,0.5,0.2,0.6,0,1,5.8
克里斯蒂亚诺-费利西奥,芝加哥公牛,48,15:41,1.9,3.3,55.6%,0,0,0%,1.1,1.6,66.2%,2.1,2.8,4.9,0.6,0.5,0.4,0.3,1.7,4.8
杰弗瑞-洛文吉,芝加哥公牛,50,14:46,2.2,4.9,45.5%,0.5,1.6,34.6%,0.7,1.2,63.8%,1,2.6,3.7,1,0.8,0.4,0.1,1.4,5.7
鲍比-波蒂斯,芝加哥公牛,39,12:06,1.9,4,47.7%,0.3,0.9,36.1%,0.5,0.8,65.6%,1.1,2.3,3.4,0.5,0.6,0.2,0.2,1.2,4.7
罗宾-洛佩兹,芝加哥公牛,57,27:58,4.5,9.1,49.2%,0,0,0%,0.9,1.3,67.6%,3.4,3.5,6.9,0.9,1.1,0.2,1.6,1.9,9.8
勒布朗-詹姆斯,克里夫兰骑士,53,37:32,9.6,17.8,54%,1.7,4.5,38.6%,4.8,6.9,68.9%,1.2,6.6,7.8,8.9,4.3,1.4,0.6,1.7,25.7
凯瑞-厄文,克里夫兰骑士,50,35:05,9.1,19.5,46.4%,2.4,6.1,38.8%,3.9,4.3,90.3%,0.7,2.4,3.1,5.9,2.7,1.2,0.3,2.1,24.4
艾曼-舒伯特,克里夫兰骑士,52,25:22,2.7,6.3,41.9%,1.5,3.7,39.6%,1,1.3,77.3%,0.6,2.3,2.9,1.5,1,1,0.3,2,7.8
凯文-勒夫,克里夫兰骑士,46,31:52,6.3,14.8,42.9%,2.6,6.7,38.4%,4.7,5.4,87.6%,2.5,8.6,11.1,1.9,2.1,0.9,0.3,1.8,20
德安德烈-利金斯,克里夫兰骑士,46,14:04,1,2.6,39.8%,0.4,1,38.6%,0.5,0.7,67.7%,0.3,1.4,1.7,1,0.7,0.8,0.3,1.4,2.9
凯尔-科沃尔,克里夫兰骑士,52,27:05,3.7,7.8,47.1%,2.4,5.2,45.6%,0.6,0.7,88.6%,0.1,2.8,2.9,1.8,1.1,0.6,0.3,1.5,10.3
特里斯坦-汤普森,克里夫兰骑士,56,30:02,3.4,5.7,59.1%,0,0.1,0%,1.5,2.9,51.5%,3.8,6,9.8,0.9,0.8,0.6,1.2,2.4,8.2
钱宁-弗莱,克里夫兰骑士,49,18:42,3.2,7.4,43.4%,1.9,4.8,40.4%,0.9,1.1,84.9%,0.6,3.2,3.8,0.7,0.7,0.4,0.5,1.9,9.3
理查德-杰弗森,克里夫兰骑士,55,19:32,1.8,4.2,42.7%,0.7,2.3,29.8%,1,1.3,74.3%,0.4,2,2.4,0.9,0.6,0.3,0.1,1.9,5.3
赛斯-库里,达拉斯小牛,52,28:14,4.5,9.5,46.8%,1.8,4.3,41.6%,0.9,1.2,80%,0.4,2.2,2.6,2.7,1.2,1.2,0.1,1.9,11.7
韦斯利-马修斯,达拉斯小牛,53,35:21,5.2,12.8,40.7%,2.7,7.1,38.1%,2.2,2.7,81.3%,0.2,3.4,3.6,2.5,1.3,1.1,0.2,2.2,15.3
德怀特-鲍威尔,达拉斯小牛,56,18:18,2.6,4.9,54%,0.1,0.4,24%,1.4,1.8,76.7%,1.4,2.9,4.3,0.8,0.4,1,0.6,1.9,6.8
哈里森-巴恩斯,达拉斯小牛,56,35:50,8.1,17.1,47.4%,1,3,33.5%,2.8,3.4,84.1%,1.2,4,5.2,1.5,1.3,0.8,0.2,1.6,20.1
德扬-芬尼-史密斯,达拉斯小牛,55,20:47,1.5,3.9,39.4%,0.7,2.3,31.3%,0.7,0.9,76.6%,0.6,2,2.6,0.9,0.6,0.6,0.3,1.7,4.4
德隆-威廉姆斯,达拉斯小牛,40,29:16,4.9,11.3,43%,1.6,4.5,34.8%,1.7,2.1,82.1%,0.3,2.2,2.6,6.8,2.4,0.6,0,2.4,13
德文-哈里斯,达拉斯小牛,39,16:43,1.8,5,35.9%,0.8,2.6,32%,1.6,1.9,86.5%,0.2,1.8,2,1.7,0.7,0.6,0.1,1.5,6.1
萨拉赫-梅杰里,达拉斯小牛,50,13:20,1.2,1.7,67.8%,0,0,0%,0.4,0.7,64.7%,1.4,3.2,4.6,0.2,0.6,0.5,1,2.2,2.8
梅森-普拉姆利,丹佛掘金,56,28:04,4.3,8.1,53.4%,0,0.1,0%,2.4,4.2,56.5%,2.2,5.8,7.9,3.9,1.6,0.9,1.1,2.8,11
伊曼纽尔-穆迪埃,丹佛掘金,44,28:06,4.1,11,36.9%,1.1,3.6,30.8%,2.5,3.2,77.5%,0.6,2.9,3.5,4.2,2.5,0.8,0.2,1.9,11.8
威尔-巴顿,丹佛掘金,43,29:10,5,11.2,44.7%,1.4,3.7,38.1%,2.5,3.3,75.9%,1.1,3.5,4.7,3.4,1.7,0.8,0.5,1.9,13.9
威尔森-钱德勒,丹佛掘金,51,30:50,6.1,13.4,45.5%,1.5,4.4,34.1%,2,2.7,72.9%,1.5,5.2,6.7,2,1.7,0.8,0.4,2.4,15.7
尼古拉-约基奇,丹佛掘金,50,26:53,6.5,11.2,57.7%,0.6,1.7,35.6%,2.5,3,81.6%,3.1,5.9,9,4.3,2.1,0.8,0.8,3.1,16
科内斯-法瑞德,丹佛掘金,48,22:07,3.7,6.6,55.7%,0,0.1,0%,2.4,3.5,68.9%,3.1,4.7,7.9,0.9,1,0.7,0.8,2.1,9.7
贾马尔-尼尔森,丹佛掘金,57,26:21,3.6,8.2,44.3%,1.4,3.5,38.6%,0.6,0.8,73.3%,0.4,2.1,2.5,5,1.8,0.7,0.1,2.7,9.2
达尼罗-加里纳利,丹佛掘金,45,34:05,5,11.6,43.5%,1.8,4.7,37.6%,5.4,6,88.9%,0.6,4.4,5,2.3,1.4,0.6,0.2,1.5,17.2
贾马尔-穆雷,丹佛掘金,57,19:53,3.1,8,38.8%,1.3,3.9,32.6%,1.2,1.4,87.7%,0.6,1.9,2.5,1.8,1.3,0.5,0.3,1.4,8.7
胡安-埃尔南戈麦斯,丹佛掘金,41,12:32,1.4,3.2,44.6%,0.6,1.5,41.3%,0.8,1.1,70.2%,0.8,2.1,2.8,0.5,0.3,0.4,0.3,1,4.3
罗伊-希伯特,丹佛掘金,42,15:59,1.9,3.4,54.2%,0,0,0%,1.5,1.8,81.3%,1.3,2.3,3.6,0.5,0.7,0.2,1,2.3,5.2
